,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
0,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,giannis-antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,242,9,34,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2022,N,Y,Y,2013,1,15,Y
0,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,"Antetokounmpo, Thanasis",T. Antetokounmpo,thanasis-antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-6,219,4,43,Forward,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,thanasis_antetokounmpo,2015,2022,Y,Y,Y,2014,2,51,N
0,2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,6-7,238,19,7,Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,2003,2022,N,Y,Y,2003,1,3,Y
0,1630175,Cole,Anthony,Cole Anthony,"Anthony, Cole",C. Anthony,cole-anthony,2000-05-15T00:00:00,North Carolina,USA,North Carolina/USA,6-3,185,2,50,Guard,Active,N,1610612753,Magic,ORL,magic,Orlando,cole_anthony,2020,2022,N,Y,Y,2020,1,15,N
0,1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,232,5,3,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,og_anunoby,2017,2022,N,Y,Y,2017,1,23,N
0,1627853,Ryan,Arcidiacono,Ryan Arcidiacono,"Arcidiacono, Ryan",R. Arcidiacono,ryan-arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,195,6,51,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,ryan_arcidiacono,2017,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,201571,D.J.,Augustin,D.J. Augustin,"Augustin, D.J.",D. Augustin,dj-augustin,1987-11-10T00:00:00,Texas-Austin,USA,Texas-Austin/USA,5-11,183,14,4,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,d.j._augustin,2008,2022,N,Y,Y,2008,1,9,N
0,1630166,Deni,Avdija,Deni Avdija,"Avdija, Deni",D. Avdija,deni-avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,Maccabi Tel Aviv/Israel,6-9,210,2,9,Forward,Active,N,1610612764,Wizards,WAS,wizards,Washington,deni_avdija,2020,2022,N,Y,Y,2020,1,9,N
0,1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,6-11,250,4,22,Center,Active,N,1610612756,Suns,PHX,suns,Phoenix,deandre_ayton,2018,2022,N,Y,Y,2018,1,1,N
0,1628962,Udoka,Azubuike,Udoka Azubuike,"Azubuike, Udoka",U. Azubuike,udoka-azubuike,1999-09-17T00:00:00,Kansas,Nigeria,Kansas/Nigeria,7-0,270,2,20,Center-Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,udoka_azubuike,2020,2022,Y,Y,Y,2020,1,27,N
0,1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-11,235,4,35,Forward,Active,N,1610612765,Pistons,DET,pistons,Detroit,marvin_bagley_iii,2018,2022,N,Y,Y,2018,1,2,N
0,1630163,LaMelo,Ball,LaMelo Ball,"Ball, LaMelo",L. Ball,lamelo-ball,2001-08-22T00:00:00,Illawarra,USA,Illawarra/USA,6-7,180,2,2,Guard,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,lamelo_ball,2020,2022,N,Y,Y,2020,1,3,N
0,1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,lonzo-ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,5,2,Guard,Active,N,1610612741,Bulls,CHI,bulls,Chicago,lonzo_ball,2017,2022,N,Y,Y,2017,1,2,N
0,1628964,Mo,Bamba,Mo Bamba,"Bamba, Mo",M. Bamba,mo-bamba,1998-05-12T00:00:00,Texas-Austin,USA,Texas-Austin/USA,7-0,231,4,5,Center,Active,N,1610612753,Magic,ORL,magic,Orlando,mohamed_bamba,2018,2022,N,Y,Y,2018,1,6,N
0,1630217,Desmond,Bane,Desmond Bane,"Bane, Desmond",D. Bane,desmond-bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215,2,22,Guard,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,desmond_bane,2020,2022,N,Y,Y,2020,1,30,N
0,1630625,Dalano,Banton,Dalano Banton,"Banton, Dalano",D. Banton,dalano-banton,1999-11-07T00:00:00,Nebraska,Canada,Nebraska/Canada,6-7,204,1,45,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,dalano_banton,2021,2022,Y,Y,Y,2021,2,46,N
0,203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,harrison-barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,10,40,Forward,Active,N,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012,2022,N,Y,Y,2012,1,7,N
0,1630567,Scottie,Barnes,Scottie Barnes,"Barnes, Scottie",S. Barnes,scottie-barnes,2001-08-01T00:00:00,Florida State,USA,Florida State/USA,6-7,225,1,4,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,scottie_barnes,2021,2022,N,Y,Y,2021,1,4,N
0,1629628,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214,3,9,Forward-Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,rj_barrett,2019,2022,N,Y,Y,2019,1,3,N
0,203115,Will,Barton,Will Barton,"Barton, Will",W. Barton,will-barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-5,181,10,5,Guard,Active,N,1610612764,Wizards,WAS,wizards,Washington,will_barton,2012,2022,Y,Y,Y,2012,2,40,N
0,1629646,Charles,Bassey,Charles Bassey,"Bassey, Charles",C. Bassey,charles-bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,Western Kentucky/Nigeria,6-9,230,1,23,Center-Forward,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,charles_bassey,2021,2022,Y,Y,Y,2021,2,53,N
0,1628966,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,keita-bates-diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229,4,31,Forward,Active,N,1610612759,Spurs,SAS,spurs,San Antonio,keita_bates-diop,2018,2022,Y,Y,Y,2018,2,48,N
0,201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230,14,33,Guard-Forward,Active,N,1610612746,Clippers,LAC,clippers,LA,nicolas_batum,2008,2022,N,Y,Y,2008,1,25,N
0,203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,kent-bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,6-4,195,10,9,Guard-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,kent_bazemore,2012,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1629647,Darius,Bazley,Darius Bazley,"Bazley, Darius",D. Bazley,darius-bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,6-8,208,3,55,Forward,Active,N,1610612760,Thunder,OKC,thunder,Oklahoma City,darius_bazley,2019,2022,N,Y,Y,2019,1,23,N
0,203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,bradley-beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207,10,3,Guard,Active,N,1610612764,Wizards,WAS,wizards,Washington,bradley_beal,2012,2022,N,Y,Y,2012,1,3,N
0,1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187,6,5,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,malik_beasley,2016,2022,Y,Y,Y,2016,1,19,N
0,202722,Davis,Bertans,Davis Bertans,"Bertans, Davis",D. Bertans,davis-bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225,6,44,Forward,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,davis_bertans,2016,2022,Y,Y,Y,2011,2,42,N
0,201976,Patrick,Beverley,Patrick Beverley,"Beverley, Patrick",P. Beverley,patrick-beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-1,180,10,21,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,patrick_beverley,2012,2022,Y,Y,Y,2009,2,42,N
0,1630180,Saddiq,Bey,Saddiq Bey,"Bey, Saddiq",S. Bey,saddiq-bey,1999-04-09T00:00:00,Villanova,USA,Villanova/USA,6-7,215,2,41,Forward,Active,N,1610612765,Pistons,DET,pistons,Detroit,saddiq_bey,2020,2022,N,Y,Y,2020,1,19,N
0,203920,Khem,Birch,Khem Birch,"Birch, Khem",K. Birch,khem-birch,1992-09-28T00:00:00,UNLV,Canada,UNLV/Canada,6-9,233,5,24,Center,Active,N,1610612761,Raptors,TOR,raptors,Toronto,khem_birch,2017,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1629048,Goga,Bitadze,Goga Bitadze,"Bitadze, Goga",G. Bitadze,goga-bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,7-0,250,3,88,Center-Forward,Active,N,1610612754,Pacers,IND,pacers,Indiana,goga_bitadze,2019,2022,Y,Y,Y,2019,1,18,N
0,202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,bismack-biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,DRC,Baloncesto Fuenlabrada/DRC,6-8,255,11,18,Center,Active,N,1610612756,Suns,PHX,suns,Phoenix,bismack_biyombo,2011,2022,N,Y,Y,2011,1,7,N
0,202357,Nemanja,Bjelica,Nemanja Bjelica,"Bjelica, Nemanja",N. Bjelica,nemanja-bjelica,1988-05-09T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-9,234,8,8,Forward,Inactive,N,1610612744,Warriors,GSW,warriors,Golden State,nemanja_bjelica,2015,2021,N,Y,Y,2010,2,35,N
0,202339,Eric,Bledsoe,Eric Bledsoe,"Bledsoe, Eric",E. Bledsoe,eric-bledsoe,1989-12-09T00:00:00,Kentucky,USA,Kentucky/USA,6-1,214,13,5,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,eric_bledsoe,2010,2021,Y,Y,Y,2010,1,18,N
0,1629833,Keljin,Blevins,Keljin Blevins,"Blevins, Keljin",K. Blevins,keljin-blevins,1995-11-24T00:00:00,Montana State,USA,Montana State/USA,6-4,200,2,21,Guard,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,keljin_blevins,2020,2022,Y,Y,Y,2019,,,N
0,203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,bogdan-bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-6,225,5,13,Guard,Active,N,1610612737,Hawks,ATL,hawks,Atlanta,bogdan_bogdanovic,2017,2022,N,Y,Y,2014,1,27,N
0,202711,Bojan,Bogdanovic,Bojan Bogdanovic,"Bogdanovic, Bojan",B. Bogdanovic,bojan-bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,Fenerbahce/Croatia,6-7,226,8,44,Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,bojan_bogdanovic,2014,2022,N,Y,Y,2011,2,31,N
0,1629626,Bol,Bol,Bol Bol,"Bol, Bol",B. Bol,bol-bol,1999-11-16T00:00:00,Oregon,Sudan,Oregon/Sudan,7-2,220,3,10,Center-Forward,Active,N,1610612753,Magic,ORL,magic,Orlando,bol_bol,2019,2022,Y,Y,Y,2019,2,44,N
0,1630195,Leandro,Bolmaro,Leandro Bolmaro,"Bolmaro, Leandro",L. Bolmaro,leandro-bolmaro,2000-09-11T00:00:00,FC Barcelona,Argentina,FC Barcelona/Argentina,6-6,200,1,9,Forward,Active,N,1610612762,Jazz,UTA,jazz,Utah,leandro_bolmaro,2021,2022,Y,Y,Y,2020,1,23,N
0,1629067,Isaac,Bonga,Isaac Bonga,"Bonga, Isaac",I. Bonga,isaac-bonga,1999-11-08T00:00:00,Skyliners Frankfurt,Germany,Skyliners Frankfurt/Germany,6-8,180,4,17,Guard,Active,N,1610612761,Raptors,TOR,raptors,Toronto,isaac_bonga,2018,2022,Y,Y,Y,2018,2,39,N
0,1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,devin-booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-5,206,7,1,Guard,Active,N,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2022,N,Y,Y,2015,1,13,N
0,1630527,Brandon,Boston,Brandon Boston,"Boston, Brandon",B. Boston,brandon-boston,2001-11-28T00:00:00,Kentucky,USA,Kentucky/USA,6-6,188,1,4,Guard,Active,N,1610612746,Clippers,LAC,clippers,LA,brandon_boston_jr,2021,2022,Y,Y,Y,2021,2,51,N
0,1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,chris-boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,Oregon/Saint Lucia,6-9,200,5,25,Forward-Center,Active,N,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1630547,James,Bouknight,James Bouknight,"Bouknight, James",J. Bouknight,james-bouknight,2000-09-18T00:00:00,Connecticut,USA,Connecticut/USA,6-4,190,1,5,Guard,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,james_bouknight,2021,2022,Y,Y,Y,2021,1,11,N
0,202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,avery-bradley,1990-11-26T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-3,180,12,20,Guard,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,avery_bradley,2010,2022,Y,Y,Y,2010,1,19,N
0,1628396,Tony,Bradley,Tony Bradley,"Bradley, Tony",T. Bradley,tony-bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-10,248,5,13,Center-Forward,Active,N,1610612741,Bulls,CHI,bulls,Chicago,tony_bradley,2017,2022,Y,Y,Y,2017,1,28,N
0,1629649,Ignas,Brazdeikis,Ignas Brazdeikis,"Brazdeikis, Ignas",I. Brazdeikis,ignas-brazdeikis,1999-01-08T00:00:00,Michigan,Canada,Michigan/Canada,6-6,221,3,17,Forward,Active,N,1610612753,Magic,ORL,magic,Orlando,ignas_brazdeikis,2019,2022,Y,Y,Y,2019,2,47,N
0,1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,mikal-bridges,1996-08-30T00:00:00,Villanova,USA,Villanova/USA,6-6,209,4,25,Forward,Active,N,1610612756,Suns,PHX,suns,Phoenix,mikal_bridges,2018,2022,N,Y,Y,2018,1,10,N
0,1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,miles-bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State/USA,6-7,225,4,0,Forward,Active,N,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018,2022,N,Y,Y,2018,1,12,N
0,1629052,Oshae,Brissett,Oshae Brissett,"Brissett, Oshae",O. Brissett,oshae-brissett,1998-06-20T00:00:00,Syracuse,Canada,Syracuse/Canada,6-7,210,3,12,Forward-Guard,Active,N,1610612754,Pacers,IND,pacers,Indiana,oshae_brissett,2019,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,malcolm-brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-5,229,6,7,Guard,Active,N,1610612738,Celtics,BOS,celtics,Boston,malcolm_brogdon,2016,2022,N,Y,Y,2016,2,36,N
0,1629717,Armoni,Brooks,Armoni Brooks,"Brooks, Armoni",A. Brooks,armoni-brooks,1998-06-05T00:00:00,Houston,USA,Houston/USA,6-3,195,3,1,Guard,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,sl_armoni_brooks,2020,2021,Y,Y,Y,2019,,,N
0,1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,dillon-brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-7,225,5,24,Guard-Forward,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,dillon_brooks,2017,2022,N,Y,Y,2017,2,45,N
0,1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,bruce-brown,1996-08-15T00:00:00,Miami,USA,Miami/USA,6-4,202,4,11,Guard-Forward,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,bruce_brown,2018,2022,Y,Y,Y,2018,2,42,N
0,1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,jaylen-brown,1996-10-24T00:00:00,California,USA,California/USA,6-6,223,6,7,Guard-Forward,Active,N,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016,2022,N,Y,Y,2016,1,3,N
0,1629650,Moses,Brown,Moses Brown,"Brown, Moses",M. Brown,moses-brown,1999-10-13T00:00:00,UCLA,USA,UCLA/USA,7-2,245,3,6,Center,Active,N,1610612746,Clippers,LAC,clippers,LA,moses_brown,2019,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1628425,Sterling,Brown,Sterling Brown,"Brown, Sterling",S. Brown,sterling-brown,1995-02-10T00:00:00,Southern Methodist,USA,Southern Methodist/USA,6-5,219,5,0,Guard-Forward,Active,N,1610612745,Rockets,HOU,rockets,Houston,sterling_brown,2017,2022,Y,Y,Y,2017,2,46,N
0,1630535,Greg,Brown III,Greg Brown III,"Brown III, Greg",G. Brown III,greg-brown-iii,2001-09-01T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-7,206,1,4,Forward,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,greg_brown_iii,2021,2022,N,Y,Y,2021,2,43,N
0,1629718,Charlie,Brown Jr.,Charlie Brown Jr.,"Brown Jr., Charlie",C. Brown Jr.,charlie-brown-jr,1997-02-02T00:00:00,St. Joseph's (PA),USA,St. Joseph's (PA)/USA,6-6,199,3,16,Guard,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,charles_brown,2019,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1630602,Chaundee,Brown Jr.,Chaundee Brown Jr.,"Brown Jr., Chaundee",C. Brown Jr.,chaundee-brown-jr,1998-12-04T00:00:00,Michigan,USA,Michigan/USA,6-5,215,2,38,Forward,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,chaundee_brown,2021,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,1628972,Troy,Brown Jr.,Troy Brown Jr.,"Brown Jr., Troy",T. Brown Jr.,troy-brown-jr,1999-07-28T00:00:00,Oregon,USA,Oregon/USA,6-6,215,4,7,Guard-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,troy_brown_jr,2018,2022,Y,Y,Y,2018,1,15,N
0,1628973,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,jalen-brunson,1996-08-31T00:00:00,Villanova,USA,Villanova/USA,6-1,190,4,13,Guard,Active,N,1610612752,Knicks,NYK,knicks,New York,jalen_brunson,2018,2022,N,Y,Y,2018,2,33,N
0,1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,thomas-bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,5,13,Center-Forward,Active,N,1610612747,Lakers,LAL,lakers,Los Angeles,thomas_bryant,2017,2022,Y,Y,Y,2017,2,42,N
0,203493,Reggie,Bullock,Reggie Bullock,"Bullock, Reggie",R. Bullock,reggie-bullock,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-6,205,9,25,Guard-Forward,Active,N,1610612742,Mavericks,DAL,mavericks,Dallas,reggie_bullock,2013,2022,Y,Y,Y,2013,1,25,N
0,203504,Trey,Burke,Trey Burke,"Burke, Trey",T. Burke,trey-burke,1992-11-12T00:00:00,Michigan,USA,Michigan/USA,6-0,185,9,3,Guard,Active,N,1610612745,Rockets,HOU,rockets,Houston,trey_burke,2013,2022,Y,Y,Y,2013,1,9,N
0,202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,alec-burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-6,214,11,18,Guard,Active,N,1610612765,Pistons,DET,pistons,Detroit,alec_burks,2011,2022,Y,Y,Y,2011,1,12,N
0,1630215,Jared,Butler,Jared Butler,"Butler, Jared",J. Butler,jared-butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193,1,13,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,jared_butler,2021,2022,Y,Y,Y,2021,2,40,N
0,202710,Jimmy,Butler,Jimmy Butler,"Butler, Jimmy",J. Butler,jimmy-butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230,11,22,Forward,Active,N,1610612748,Heat,MIA,heat,Miami,jimmy_butler,2011,2022,N,Y,Y,2011,1,30,N
0,1629719,Devontae,Cacok,Devontae Cacok,"Cacok, Devontae",D. Cacok,devontae-cacok,1996-10-08T00:00:00,North Carolina-Wilmington,USA,North Carolina-Wilmington/USA,6-7,240,3,18,Forward,Active,N,1610612757,Trail Blazers,POR,blazers,Portland,davontae_cacok,2019,2022,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
0,203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,"Caldwell-Pope, Kentavious",K. Caldwell-Pope,kentavious-caldwell-pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,204,9,5,Guard,Active,N,1610612743,Nuggets,DEN,nuggets,Denver,kentavious_caldwell-pope,2013,2022,N,Y,Y,2013,1,8,N
0,1630267,Facundo,Campazzo,Facundo Campazzo,"Campazzo, Facundo",F. Campazzo,facundo-campazzo,1991-03-23T00:00:00,Murcia,Argentina,Murcia/Argentina,5-10,195,3,7,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,facundo_campazzo,2020,2021,N,Y,Y,Undrafted,Undrafted,Undrafted,N
