,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP_y,DRAFT_NUMBER_y,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
33,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,10,Undrafted,,,,,,,,2401537.0
34,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,3,23,55.0,1714.0,754.0,396.0,99.0,29.0,25.0,2513040.0
35,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,10,3,60.0,2147.0,1878.0,283.0,265.0,69.0,22.0,34502130.0
36,Malik Beasley,Jazz,Guard,6-4,187,USA,1996-11-26T00:00:00,6,19,,,,,,,,14391964.0
37,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,6,42,,,,,,,,16000000.0
38,Patrick Beverley,Lakers,Guard,6-1,180,USA,1988-07-12T00:00:00,10,42,,,,,,,,14320988.0
39,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,2,19,70.0,1909.0,857.0,318.0,95.0,52.0,14.0,2824320.0
40,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,5,Undrafted,19.0,577.0,227.0,144.0,36.0,16.0,22.0,6350000.0
41,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,3,18,45.0,561.0,231.0,150.0,37.0,9.0,60.0,3098400.0
42,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,11,7,,,,,,,,1366392.0
43,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,8,35,,,,,,,,2089448.0
44,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,13,18,,,,,,,,18125000.0
45,Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,2,,17.0,75.0,12.0,10.0,4.0,2.0,0.0,
46,Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,5,27,44.0,1305.0,720.0,160.0,147.0,49.0,13.0,18000000.0
47,Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,8,31,72.0,2216.0,1225.0,281.0,136.0,45.0,4.0,18700000.0
48,Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,3,44,,,,,,,,2161152.0
49,Leandro Bolmaro,Jazz,Forward,6-6,200,Argentina,2000-09-11T00:00:00,1,23,,,,,,,,2353320.0
50,Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,4,39,,,,,,,,1729217.0
51,Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,7,13,67.0,2270.0,1712.0,281.0,289.0,53.0,16.0,31610000.0
52,Brandon Boston,Clippers,Guard,6-6,188,USA,2001-11-28T00:00:00,1,51,,,,,,,,925258.0
53,Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,5,Undrafted,60.0,1453.0,818.0,404.0,63.0,35.0,111.0,7009615.0
54,James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,1,11,,,,,,,,4154400.0
55,Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,12,19,,,,,,,,2641691.0
56,Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,5,28,,,,,,,,1789256.0
57,Ignas Brazdeikis,Magic,Forward,6-6,221,Canada,1999-01-08T00:00:00,3,47,8.0,234.0,89.0,41.0,16.0,4.0,3.0,
58,Mikal Bridges,Suns,Forward,6-6,209,USA,1996-08-30T00:00:00,4,10,72.0,2348.0,970.0,309.0,152.0,76.0,63.0,5557725.0
59,Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,4,12,66.0,1932.0,840.0,397.0,147.0,44.0,52.0,5421493.0
60,Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,3,Undrafted,21.0,519.0,229.0,115.0,18.0,19.0,20.0,1701593.0
61,Malcolm Brogdon,Celtics,Guard,6-5,229,USA,1992-12-11T00:00:00,6,36,,,,,,,,21700000.0
62,Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,3,,,,,,,,,1489065.0
63,Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,5,45,67.0,1997.0,1151.0,196.0,157.0,78.0,26.0,12200000.0
64,Bruce Brown,Nuggets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,4,42,,,,,,,,4736102.0
65,Jaylen Brown,Celtics,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,6,3,58.0,1999.0,1430.0,347.0,195.0,72.0,32.0,24830357.0
66,Moses Brown,Clippers,Center,7-2,245,USA,1999-10-13T00:00:00,3,Undrafted,,,,,,,,1701593.0
67,Sterling Brown,Rockets,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,5,46,51.0,1229.0,416.0,224.0,72.0,38.0,12.0,3000000.0
68,Greg Brown III,Trail Blazers,Forward,6-7,206,USA,2001-09-01T00:00:00,1,43,,,,,,,,925258.0
69,Charlie Brown Jr.,76ers,Guard,6-6,199,USA,1997-02-02T00:00:00,3,Undrafted,,,,,,,,
70,Chaundee Brown Jr.,Hawks,Forward,6-5,215,USA,1998-12-04T00:00:00,2,Undrafted,,,,,,,,
71,Troy Brown Jr.,Lakers,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,4,15,,,,,,,,5170564.0
72,Jalen Brunson,Knicks,Guard,6-1,190,USA,1996-08-31T00:00:00,4,33,,,,,,,,1802057.0
73,Thomas Bryant,Lakers,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,5,42,,,,,,,,8730159.0
74,Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,9,25,,,,,,,,9536000.0
75,Trey Burke,Rockets,Guard,6-0,185,USA,1992-11-12T00:00:00,9,9,,,,,,,,3333333.0
76,Alec Burks,Pistons,Guard,6-6,214,USA,1991-07-20T00:00:00,11,12,,,,,,,,9536000.0
77,Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,1,40,,,,,,,,925258.0
78,Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,11,30,52.0,1745.0,1116.0,359.0,369.0,108.0,18.0,36016200.0
79,Devontae Cacok,Trail Blazers,Forward,6-7,240,USA,1996-10-08T00:00:00,3,Undrafted,,,,,,,,
80,Kentavious Caldwell-Pope,Nuggets,Guard,6-5,204,USA,1993-02-18T00:00:00,9,8,,,,,,,,13038862.0
81,Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,3,Undrafted,65.0,1425.0,396.0,134.0,232.0,79.0,14.0,3804150.0
82,Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,3,49,41.0,281.0,85.0,50.0,14.0,11.0,2.0,1782621.0
83,Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,2,,8.0,74.0,34.0,5.0,1.0,5.0,1.0,
84,Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,8,25,63.0,1898.0,956.0,903.0,49.0,44.0,129.0,17103448.0
85,Vernon Carey Jr.,Wizards,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,2,32,,,,,,,,1517981.0
86,Jevon Carter,Bucks,Guard,6-1,200,USA,1995-09-14T00:00:00,4,32,,,,,,,,4107149.0
87,Wendell Carter Jr.,Magic,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,4,7,22.0,583.0,258.0,193.0,35.0,17.0,18.0,6920027.0
88,Alex Caruso,Bulls,Guard,6-5,186,USA,1994-02-28T00:00:00,5,Undrafted,,,,,,,,8604651.0
89,Justin Champagnie,Raptors,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,1,Undrafted,,,,,,,,
90,Chris Chiozza,Warriors,Guard,5-11,175,USA,1995-11-21T00:00:00,4,Undrafted,,,,,,,,
91,Marquese Chriss,Rockets,Forward,6-9,240,USA,1997-07-02T00:00:00,6,8,,,,,,,,958529.0
92,Josh Christopher,Rockets,Guard,6-3,215,USA,2001-12-08T00:00:00,1,24,,,,,,,,2259240.0
93,Gary Clark,Pelicans,Forward,6-6,225,USA,1994-11-16T00:00:00,4,Undrafted,,,,,,,,377645.0
94,Brandon Clarke,Grizzlies,Forward,6-8,215,Canada,1996-09-19T00:00:00,3,21,59.0,1415.0,610.0,328.0,95.0,60.0,51.0,2726880.0
95,Jordan Clarkson,Jazz,Guard,6-4,194,USA,1992-06-07T00:00:00,8,46,68.0,1818.0,1251.0,274.0,168.0,61.0,10.0,12420000.0
96,Nic Claxton,Nets,Center,6-11,215,USA,1999-04-17T00:00:00,3,31,32.0,594.0,212.0,166.0,28.0,23.0,40.0,1782621.0
97,Amir Coffey,Clippers,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,3,Undrafted,44.0,395.0,140.0,44.0,22.0,10.0,0.0,
98,John Collins,Hawks,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,5,19,63.0,1848.0,1111.0,467.0,78.0,34.0,63.0,23000000.0
99,Zach Collins,Spurs,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,4,10,,,,,,,,6984127.0
100,Mike Conley,Jazz,Guard,6-1,175,USA,1987-10-11T00:00:00,15,4,51.0,1498.0,827.0,177.0,305.0,70.0,9.0,21000000.0
101,Pat Connaughton,Bucks,Guard,6-5,209,USA,1993-01-06T00:00:00,7,41,69.0,1575.0,468.0,332.0,81.0,49.0,23.0,5333333.0
102,Tyler Cook,Bulls,Forward,6-8,255,USA,1997-09-23T00:00:00,3,Undrafted,,,,,,,,
103,Sharife Cooper,Hawks,Guard,6-1,176,USA,2001-06-11T00:00:00,2,48,,,,,,,,
104,DeMarcus Cousins,Nuggets,Center,6-10,270,USA,1990-08-13T00:00:00,12,5,,,,,,,,1290481.0
105,Robert Covington,Clippers,Forward,6-7,209,USA,1990-12-14T00:00:00,9,Undrafted,,,,,,,,12975471.0
106,Torrey Craig,Suns,Forward,6-7,221,USA,1990-12-19T00:00:00,5,Undrafted,32.0,602.0,229.0,154.0,33.0,19.0,20.0,4878049.0
107,Jae Crowder,Suns,Forward,6-6,235,USA,1990-07-06T00:00:00,10,34,60.0,1648.0,603.0,282.0,127.0,48.0,27.0,9720900.0
108,Jarrett Culver,Hawks,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,3,6,,,,,,,,6395160.0
109,Cade Cunningham,Pistons,Guard,6-6,220,USA,2001-09-25T00:00:00,1,1,,,,,,,,10050120.0
110,Seth Curry,Nets,Guard,6-2,185,USA,1990-08-23T00:00:00,8,Undrafted,,,,,,,,8186047.0
111,Stephen Curry,Warriors,Guard,6-2,185,USA,1988-03-14T00:00:00,13,7,63.0,2152.0,2015.0,345.0,363.0,77.0,8.0,45780966.0
112,Anthony Davis,Lakers,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,10,1,36.0,1162.0,786.0,286.0,110.0,45.0,59.0,35361360.0
113,Ed Davis,Cavaliers,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,13,13,,,,,,,,2641691.0
114,Terence Davis,Kings,Guard,6-4,201,USA,1997-05-16T00:00:00,3,Undrafted,27.0,581.0,299.0,88.0,46.0,27.0,7.0,4000000.0
115,DeMar DeRozan,Bulls,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,13,9,,,,,,,,26000000.0
116,Dewayne Dedmon,Heat,Center,7-0,245,USA,1989-08-12T00:00:00,9,Undrafted,16.0,210.0,113.0,86.0,12.0,9.0,6.0,5256308.0
117,Donte DiVincenzo,Warriors,Guard,6-4,203,USA,1997-01-31T00:00:00,4,17,,,,,,,,4675830.0
118,Hamidou Diallo,Pistons,Guard,6-5,202,USA,1998-07-31T00:00:00,4,45,20.0,465.0,223.0,107.0,24.0,10.0,12.0,5200000.0
119,Gorgui Dieng,Spurs,Center,6-10,248,Senegal,1990-01-18T00:00:00,9,21,16.0,181.0,85.0,42.0,19.0,9.0,2.0,4000000.0
120,Spencer Dinwiddie,Mavericks,Guard,6-6,215,USA,1993-04-06T00:00:00,8,38,,,,,,,,17142857.0
121,Luka Doncic,Mavericks,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,4,3,66.0,2262.0,1830.0,527.0,567.0,64.0,36.0,10174391.0
122,Luguentz Dort,Thunder,Guard,6-3,215,Canada,1999-04-19T00:00:00,3,Undrafted,52.0,1543.0,729.0,189.0,88.0,45.0,19.0,1782621.0
123,Ayo Dosunmu,Bulls,Guard,6-4,200,USA,2000-01-17T00:00:00,1,38,,,,,,,,925258.0
124,Goran Dragic,Bulls,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,14,45,,,,,,,,20168742.0
125,Andre Drummond,Bulls,Center,6-10,279,USA,1993-08-10T00:00:00,10,9,,,,,,,,2401537.0
126,Chris Duarte,Pacers,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,1,13,,,,,,,,3749520.0
127,David Duke Jr.,Nets,Guard,6-4,204,USA,1999-10-13T00:00:00,1,Undrafted,,,,,,,,
128,Kevin Durant,Nets,Forward,6-10,240,USA,1988-09-29T00:00:00,14,2,35.0,1157.0,943.0,247.0,195.0,25.0,45.0,40918900.0
129,Anthony Edwards,Timberwolves,Guard,6-4,225,USA,2001-08-05T00:00:00,2,1,72.0,2314.0,1392.0,336.0,211.0,82.0,36.0,10245480.0
130,Carsen Edwards,Celtics,Guard,5-11,200,USA,1998-03-12T00:00:00,4,33,31.0,276.0,123.0,26.0,14.0,7.0,1.0,
131,Kessler Edwards,Nets,Forward,6-7,203,USA,2000-08-09T00:00:00,1,44,,,,,,,,
132,CJ Elleby,Timberwolves,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,2,46,,,,,,,,1517981.0
133,Wayne Ellington,Lakers,Guard,6-4,207,USA,1987-11-29T00:00:00,13,28,,,,,,,,2641691.0
134,Joel Embiid,76ers,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,6,3,51.0,1585.0,1451.0,539.0,145.0,50.0,69.0,31579390.0
135,Derrick Favors,Thunder,Forward,6-9,265,USA,1991-07-15T00:00:00,12,3,,,,,,,,9720900.0
136,Bruno Fernando,Rockets,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,3,34,,,,,,,,1782621.0
137,Dorian Finney-Smith,Mavericks,Forward,6-7,220,USA,1993-05-04T00:00:00,6,Undrafted,60.0,1921.0,590.0,326.0,102.0,52.0,25.0,4000000.0
138,Malik Fitts,Celtics,Forward,6-5,230,USA,1997-07-04T00:00:00,3,Undrafted,,,,,,,,85578.0
139,Malachi Flynn,Raptors,Guard,6-1,175,USA,1998-05-09T00:00:00,2,29,47.0,928.0,353.0,116.0,137.0,38.0,7.0,2048040.0
140,Bryn Forbes,Timberwolves,Guard,6-2,205,USA,1993-07-23T00:00:00,6,Undrafted,,,,,,,,
141,Trent Forrest,Hawks,Guard,6-4,210,USA,1998-06-12T00:00:00,2,Undrafted,,,,,,,,
142,Evan Fournier,Knicks,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,10,20,,,,,,,,18139535.0
143,De'Aaron Fox,Kings,Guard,6-3,185,USA,1997-12-20T00:00:00,5,5,58.0,2036.0,1461.0,203.0,417.0,87.0,27.0,28103550.0
144,Melvin Frazier Jr.,Magic,Guard-Forward,6-5,215,USA,1996-08-30T00:00:00,4,35,,,,,,,,
145,Markelle Fultz,Magic,Guard,6-4,209,USA,1998-05-29T00:00:00,5,1,8.0,215.0,103.0,25.0,43.0,8.0,2.0,16500000.0
146,Wenyen Gabriel,Lakers,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,3,Undrafted,,,,,,,,
147,Daniel Gafford,Wizards,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,3,38,23.0,408.0,233.0,128.0,12.0,15.0,41.0,1782621.0
148,Danilo Gallinari,Celtics,Forward,6-10,236,Italy,1988-08-08T00:00:00,13,6,,,,,,,,20475000.0
149,Darius Garland,Cavaliers,Guard,6-1,192,USA,2000-01-26T00:00:00,3,5,54.0,1790.0,941.0,129.0,329.0,66.0,6.0,7040880.0
150,Usman Garuba,Rockets,Forward,6-8,229,Spain,2002-03-09T00:00:00,1,23,,,,,,,,2353320.0
151,Luka Garza,Timberwolves,Center,6-10,243,USA,1998-12-27T00:00:00,1,52,,,,,,,,925258.0
152,Rudy Gay,Jazz,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,16,8,,,,,,,,5890000.0
153,Paul George,Clippers,Forward,6-8,220,USA,1990-05-02T00:00:00,12,10,54.0,1821.0,1259.0,359.0,280.0,62.0,24.0,39344970.0
154,Taj Gibson,Wizards,Forward,6-9,232,USA,1985-06-24T00:00:00,13,26,,,,,,,,4910000.0
155,Josh Giddey,Thunder,Guard,6-8,205,Australia,2002-10-10T00:00:00,1,6,,,,,,,,5988000.0
156,Shai Gilgeous-Alexander,Thunder,Guard,6-6,180,Canada,1998-07-12T00:00:00,4,11,35.0,1180.0,830.0,166.0,207.0,27.0,23.0,5495532.0
157,Anthony Gill,Wizards,Forward,6-7,230,USA,1992-10-17T00:00:00,2,Undrafted,26.0,218.0,80.0,51.0,11.0,10.0,4.0,1517981.0
158,Rudy Gobert,Timberwolves,Center,7-1,258,France,1992-06-26T00:00:00,9,27,,,,,,,,35344828.0
159,Brandon Goodwin,Cavaliers,Guard,6-0,180,USA,1995-10-02T00:00:00,5,Undrafted,,,,,,,,
160,Aaron Gordon,Nuggets,Forward,6-8,235,USA,1995-09-16T00:00:00,8,4,25.0,648.0,254.0,118.0,56.0,17.0,14.0,16409091.0
161,Eric Gordon,Rockets,Guard,6-3,215,USA,1988-12-25T00:00:00,14,7,27.0,789.0,481.0,58.0,71.0,14.0,13.0,18218818.0
162,Devonte' Graham,Pelicans,Guard,6-1,195,USA,1995-02-22T00:00:00,4,34,,,,,,,,11000000.0
163,Jerami Grant,Trail Blazers,Forward,6-8,210,USA,1994-03-12T00:00:00,8,39,,,,,,,,20000000.0
164,Danny Green,Grizzlies,Guard,6-6,215,USA,1987-06-22T00:00:00,13,46,,,,,,,,10000000.0
165,Draymond Green,Warriors,Forward,6-6,230,USA,1990-03-04T00:00:00,10,35,63.0,1982.0,444.0,448.0,558.0,105.0,52.0,24026712.0
166,JaMychal Green,Warriors,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,8,Undrafted,,,,,,,,8292683.0
167,Jalen Green,Rockets,Guard,6-4,186,USA,2002-02-09T00:00:00,1,2,,,,,,,,8992200.0
168,Javonte Green,Bulls,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,3,Undrafted,16.0,128.0,41.0,19.0,6.0,10.0,4.0,1669178.0
169,Jeff Green,Nuggets,Forward,6-8,235,USA,1986-08-28T00:00:00,14,5,,,,,,,,4500000.0
170,Josh Green,Mavericks,Guard,6-5,200,Australia,2000-11-16T00:00:00,2,18,39.0,445.0,101.0,78.0,28.0,16.0,3.0,2957520.0
171,Blake Griffin,Nets,Forward,6-9,250,USA,1989-03-16T00:00:00,12,1,26.0,560.0,260.0,121.0,63.0,18.0,13.0,32405817.0
172,Quentin Grimes,Knicks,Guard,6-4,210,USA,2000-05-08T00:00:00,1,25,,,,,,,,2168760.0
173,Rui Hachimura,Wizards,Forward,6-8,230,Japan,1998-02-08T00:00:00,3,9,57.0,1797.0,789.0,312.0,82.0,44.0,7.0,4916160.0
174,Tyrese Haliburton,Pacers,Guard,6-5,185,USA,2000-02-29T00:00:00,2,12,,,,,,,,4023600.0
175,R.J. Hampton,Magic,Guard,6-4,175,USA,2001-02-07T00:00:00,2,24,26.0,655.0,290.0,129.0,73.0,16.0,8.0,2303040.0
176,Tim Hardaway Jr.,Mavericks,Guard-Forward,6-5,205,USA,1992-03-16T00:00:00,9,24,70.0,1985.0,1163.0,229.0,126.0,31.0,11.0,21306816.0
177,James Harden,76ers,Guard,6-5,220,USA,1989-08-26T00:00:00,13,3,,,,,,,,43848000.0
178,Maurice Harkless,Hawks,Forward-Guard,6-7,220,USA,1993-05-11T00:00:00,10,15,,,,,,,,4347600.0
179,Jared Harper,Pelicans,Guard,5-10,175,USA,1997-09-14T00:00:00,3,Undrafted,,,,,,,,
180,Montrezl Harrell,76ers,Forward-Center,6-7,240,USA,1994-01-26T00:00:00,7,32,,,,,,,,9720900.0
181,Gary Harris,Magic,Guard,6-4,210,USA,1994-09-14T00:00:00,8,19,20.0,499.0,204.0,32.0,46.0,11.0,7.0,20482143.0
182,Joe Harris,Nets,Guard-Forward,6-6,220,USA,1991-09-06T00:00:00,8,33,69.0,2142.0,974.0,248.0,130.0,46.0,14.0,17357143.0
183,Tobias Harris,76ers,Forward,6-7,226,USA,1992-07-15T00:00:00,11,19,62.0,2014.0,1210.0,419.0,220.0,55.0,51.0,36000000.0
184,Josh Hart,Trail Blazers,Guard,6-5,215,USA,1995-03-06T00:00:00,5,30,,,,,,,,12000000.0
185,Isaiah Hartenstein,Knicks,Center-Forward,7-0,250,Germany,1998-05-05T00:00:00,4,43,,,,,,,,3430810.0
186,Udonis Haslem,Heat,Forward,6-8,235,USA,1980-06-09T00:00:00,19,Undrafted,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2641691.0
187,Sam Hauser,Celtics,Forward,6-7,217,USA,1997-12-08T00:00:00,1,Undrafted,,,,,,,,313737.0
188,Jaxson Hayes,Pelicans,Center-Forward,6-11,220,USA,2000-05-23T00:00:00,3,8,60.0,964.0,449.0,257.0,35.0,25.0,38.0,5348280.0
189,Killian Hayes,Pistons,Guard,6-5,195,France,2001-07-27T00:00:00,2,7,26.0,670.0,176.0,69.0,138.0,27.0,10.0,5572680.0
190,Gordon Hayward,Hornets,Forward,6-7,225,USA,1990-03-23T00:00:00,12,9,44.0,1496.0,863.0,258.0,181.0,52.0,14.0,29900000.0
191,Juancho Hernangomez,Raptors,Forward,6-9,214,Spain,1995-09-28T00:00:00,6,15,,,,,,,,6175440.0
192,Willy Hernangomez,Pelicans,Center-Forward,6-11,250,Spain,1994-05-27T00:00:00,6,35,47.0,846.0,365.0,334.0,50.0,22.0,23.0,2327220.0
193,Tyler Herro,Heat,Guard,6-5,195,USA,2000-01-20T00:00:00,3,13,54.0,1635.0,815.0,268.0,184.0,35.0,17.0,4004280.0
194,Buddy Hield,Pacers,Guard,6-4,220,Bahamas,1992-12-17T00:00:00,6,6,,,,,,,,22477273.0
