,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
26,Harrison Barnes,Kings,Forward,203,21.0,USA,1992-05-30,10,7,58.0,2102.0,933.0,385.0,201.0,43.0,11.0,20284091,"21 Years, 1 months, 23 days"
27,Scottie Barnes,Raptors,Forward,201,21.0,USA,2001-08-01,1,4,,,,,,,,7280520,"22 Years, 3 months, 10 days"
28,RJ Barrett,Knicks,Forward-Guard,198,20.0,Canada,2000-06-14,3,3,72.0,2511.0,1264.0,414.0,217.0,53.0,20.0,8623920,"31 Years, 8 months, 18 days"
29,Will Barton,Wizards,Guard,196,17.0,USA,1991-01-06,10,40,,,,,,,,15384615,"21 Years, 10 months, 27 days"
30,Charles Bassey,76ers,Center-Forward,206,21.0,Nigeria,2000-10-28,1,53,,,,,,,,925258,"26 Years, 8 months, 1 days"
31,Keita Bates-Diop,Spurs,Forward,203,21.0,USA,1996-01-23,4,48,30.0,245.0,79.0,49.0,12.0,11.0,5.0,1729217,"33 Years, 9 months, 10 days"
32,Nicolas Batum,Clippers,Guard-Forward,203,21.0,France,1988-12-14,14,25,67.0,1835.0,540.0,316.0,148.0,69.0,37.0,12213507,"33 Years, 2 months, 23 days"
33,Kent Bazemore,Lakers,Guard-Forward,193,18.0,USA,1989-07-01,10,Undrafted,,,,,,,,2401537,"22 Years, 3 months, 12 days"
34,Darius Bazley,Thunder,Forward,203,20.0,USA,2000-06-12,3,23,55.0,1714.0,754.0,396.0,99.0,29.0,25.0,2513040,"29 Years, 2 months, 27 days"
35,Bradley Beal,Wizards,Guard,193,20.0,USA,1993-06-28,10,3,60.0,2147.0,1878.0,283.0,265.0,69.0,22.0,34502130,"25 Years, 9 months, 29 days"
36,Malik Beasley,Jazz,Guard,193,18.0,USA,1996-11-26,6,19,,,,,,,,14391964,"29 Years, 10 months, 12 days"
37,Davis Bertans,Mavericks,Forward,208,21.0,Latvia,1992-11-12,6,42,,,,,,,,16000000,"34 Years, 2 months, 12 days"
38,Patrick Beverley,Lakers,Guard,185,17.0,USA,1988-07-12,10,42,,,,,,,,14320988,"23 Years, 5 months, 15 days"
39,Saddiq Bey,Pistons,Forward,201,20.0,USA,1999-04-09,2,19,70.0,1909.0,857.0,318.0,95.0,52.0,14.0,2824320,"29 Years, 11 months, 27 days"
40,Khem Birch,Raptors,Center,206,22.0,Canada,1992-09-28,5,Undrafted,19.0,577.0,227.0,144.0,36.0,16.0,22.0,6350000,"23 Years, 2 months, 4 days"
41,Goga Bitadze,Pacers,Center-Forward,213,23.0,Georgia,1999-07-20,3,18,45.0,561.0,231.0,150.0,37.0,9.0,60.0,3098400,"30 Years, 0 months, 27 days"
42,Bismack Biyombo,Suns,Center,203,24.0,DRC,1992-08-28,11,7,,,,,,,,1366392,"34 Years, 4 months, 15 days"
43,Nemanja Bjelica,Warriors,Forward,206,22.0,Serbia,1988-05-09,8,35,,,,,,,,2089448,"32 Years, 9 months, 15 days"
44,Eric Bledsoe,Trail Blazers,Guard,185,20.0,USA,1989-12-09,13,18,,,,,,,,18125000,"30 Years, 1 months, 6 days"
46,Bogdan Bogdanovic,Hawks,Guard,198,21.0,Serbia,1992-08-18,5,27,44.0,1305.0,720.0,160.0,147.0,49.0,13.0,18000000,"22 Years, 10 months, 8 days"
47,Bojan Bogdanovic,Jazz,Forward,201,21.0,Croatia,1989-04-18,8,31,72.0,2216.0,1225.0,281.0,136.0,45.0,4.0,18700000,"22 Years, 0 months, 13 days"
48,Bol Bol,Magic,Center-Forward,218,20.0,Sudan,1999-11-16,3,44,,,,,,,,2161152,"22 Years, 10 months, 16 days"
49,Leandro Bolmaro,Jazz,Forward,198,19.0,Argentina,2000-09-11,1,23,,,,,,,,2353320,"25 Years, 10 months, 25 days"
50,Isaac Bonga,Raptors,Guard,203,17.0,Germany,1999-11-08,4,39,,,,,,,,1729217,"20 Years, 9 months, 27 days"
51,Devin Booker,Suns,Guard,196,19.0,USA,1996-10-30,7,13,67.0,2270.0,1712.0,281.0,289.0,53.0,16.0,31610000,"29 Years, 8 months, 13 days"
52,Brandon Boston,Clippers,Guard,198,18.0,USA,2001-11-28,1,51,,,,,,,,925258,"22 Years, 0 months, 6 days"
53,Chris Boucher,Raptors,Forward-Center,206,19.0,Saint Lucia,1993-01-11,5,Undrafted,60.0,1453.0,818.0,404.0,63.0,35.0,111.0,7009615,"31 Years, 9 months, 29 days"
54,James Bouknight,Hornets,Guard,193,18.0,USA,2000-09-18,1,11,,,,,,,,4154400,"24 Years, 8 months, 16 days"
55,Avery Bradley,Lakers,Guard,190,17.0,USA,1990-11-26,12,19,,,,,,,,2641691,"26 Years, 0 months, 25 days"
56,Tony Bradley,Bulls,Center-Forward,208,23.0,USA,1998-01-08,5,28,,,,,,,,1789256,"24 Years, 6 months, 3 days"
58,Mikal Bridges,Suns,Forward,198,20.0,USA,1996-08-30,4,10,72.0,2348.0,970.0,309.0,152.0,76.0,63.0,5557725,"29 Years, 9 months, 13 days"
59,Miles Bridges,Hornets,Forward,201,21.0,USA,1998-03-21,4,12,66.0,1932.0,840.0,397.0,147.0,44.0,52.0,5421493,"24 Years, 3 months, 19 days"
60,Oshae Brissett,Pacers,Forward-Guard,201,20.0,Canada,1998-06-20,3,Undrafted,21.0,519.0,229.0,115.0,18.0,19.0,20.0,1701593,"26 Years, 8 months, 2 days"
61,Malcolm Brogdon,Celtics,Guard,196,21.0,USA,1992-12-11,6,36,,,,,,,,21700000,"26 Years, 1 months, 9 days"
62,Armoni Brooks,Raptors,Guard,190,18.0,USA,1998-06-05,3,,,,,,,,,1489065,"25 Years, 11 months, 0 days"
63,Dillon Brooks,Grizzlies,Guard-Forward,201,21.0,Canada,1996-01-22,5,45,67.0,1997.0,1151.0,196.0,157.0,78.0,26.0,12200000,"22 Years, 11 months, 11 days"
64,Bruce Brown,Nuggets,Guard-Forward,193,19.0,USA,1996-08-15,4,42,,,,,,,,4736102,"27 Years, 7 months, 14 days"
65,Jaylen Brown,Celtics,Guard-Forward,198,21.0,USA,1996-10-24,6,3,58.0,1999.0,1430.0,347.0,195.0,72.0,32.0,24830357,"21 Years, 0 months, 23 days"
66,Moses Brown,Clippers,Center,218,23.0,USA,1999-10-13,3,Undrafted,,,,,,,,1701593,"23 Years, 1 months, 27 days"
67,Sterling Brown,Rockets,Guard-Forward,196,20.0,USA,1995-02-10,5,46,51.0,1229.0,416.0,224.0,72.0,38.0,12.0,3000000,"26 Years, 0 months, 24 days"
68,Greg Brown III,Trail Blazers,Forward,201,19.0,USA,2001-09-01,1,43,,,,,,,,925258,"25 Years, 1 months, 24 days"
71,Troy Brown Jr.,Lakers,Guard-Forward,198,20.0,USA,1999-07-28,4,15,,,,,,,,5170564,"31 Years, 2 months, 4 days"
72,Jalen Brunson,Knicks,Guard,185,18.0,USA,1996-08-31,4,33,,,,,,,,1802057,"22 Years, 0 months, 30 days"
73,Thomas Bryant,Lakers,Center-Forward,208,23.0,USA,1997-07-31,5,42,,,,,,,,8730159,"33 Years, 0 months, 10 days"
74,Reggie Bullock,Mavericks,Guard-Forward,198,19.0,USA,1991-03-16,9,25,,,,,,,,9536000,"29 Years, 7 months, 6 days"
75,Trey Burke,Rockets,Guard,183,17.0,USA,1992-11-12,9,9,,,,,,,,3333333,"31 Years, 6 months, 1 days"
76,Alec Burks,Pistons,Guard,198,20.0,USA,1991-07-20,11,12,,,,,,,,9536000,"25 Years, 5 months, 14 days"
77,Jared Butler,Jazz,Guard,190,18.0,USA,2000-08-25,1,40,,,,,,,,925258,"28 Years, 4 months, 6 days"
78,Jimmy Butler,Heat,Forward,201,21.0,USA,1989-09-14,11,30,52.0,1745.0,1116.0,359.0,369.0,108.0,18.0,36016200,"21 Years, 6 months, 30 days"
80,Kentavious Caldwell-Pope,Nuggets,Guard,196,19.0,USA,1993-02-18,9,8,,,,,,,,13038862,"23 Years, 5 months, 8 days"
81,Facundo Campazzo,Nuggets,Guard,178,18.0,Argentina,1991-03-23,3,Undrafted,65.0,1425.0,396.0,134.0,232.0,79.0,14.0,3804150,"28 Years, 6 months, 27 days"
82,Vlatko Cancar,Nuggets,Forward,203,22.0,Slovenia,1997-04-10,3,49,41.0,281.0,85.0,50.0,14.0,11.0,2.0,1782621,"25 Years, 2 months, 22 days"
84,Clint Capela,Hawks,Center,208,24.0,Switzerland,1994-05-18,8,25,63.0,1898.0,956.0,903.0,49.0,44.0,129.0,17103448,"27 Years, 10 months, 8 days"
85,Vernon Carey Jr.,Wizards,Forward-Center,206,25.0,USA,2001-02-25,2,32,,,,,,,,1517981,"26 Years, 0 months, 5 days"
86,Jevon Carter,Bucks,Guard,185,19.0,USA,1995-09-14,4,32,,,,,,,,4107149,"30 Years, 3 months, 17 days"
87,Wendell Carter Jr.,Magic,Center-Forward,208,25.0,USA,1999-04-16,4,7,22.0,583.0,258.0,193.0,35.0,17.0,18.0,6920027,"23 Years, 5 months, 7 days"
88,Alex Caruso,Bulls,Guard,196,17.0,USA,1994-02-28,5,Undrafted,,,,,,,,8604651,"25 Years, 0 months, 1 days"
91,Marquese Chriss,Rockets,Forward,206,22.0,USA,1997-07-02,6,8,,,,,,,,958529,"29 Years, 8 months, 18 days"
92,Josh Christopher,Rockets,Guard,190,20.0,USA,2001-12-08,1,24,,,,,,,,2259240,"32 Years, 1 months, 11 days"
93,Gary Clark,Pelicans,Forward,198,21.0,USA,1994-11-16,4,Undrafted,,,,,,,,377645,"31 Years, 9 months, 10 days"
94,Brandon Clarke,Grizzlies,Forward,203,20.0,Canada,1996-09-19,3,21,59.0,1415.0,610.0,328.0,95.0,60.0,51.0,2726880,"31 Years, 9 months, 5 days"
95,Jordan Clarkson,Jazz,Guard,193,18.0,USA,1992-06-07,8,46,68.0,1818.0,1251.0,274.0,168.0,61.0,10.0,12420000,"32 Years, 2 months, 18 days"
96,Nic Claxton,Nets,Center,211,20.0,USA,1999-04-17,3,31,32.0,594.0,212.0,166.0,28.0,23.0,40.0,1782621,"23 Years, 7 months, 4 days"
98,John Collins,Hawks,Forward-Center,206,21.0,USA,1997-09-23,5,19,63.0,1848.0,1111.0,467.0,78.0,34.0,63.0,23000000,"32 Years, 1 months, 1 days"
99,Zach Collins,Spurs,Forward-Center,211,23.0,USA,1997-11-19,4,10,,,,,,,,6984127,"34 Years, 6 months, 10 days"
100,Mike Conley,Jazz,Guard,185,16.0,USA,1987-10-11,15,4,51.0,1498.0,827.0,177.0,305.0,70.0,9.0,21000000,"29 Years, 6 months, 13 days"
101,Pat Connaughton,Bucks,Guard,196,20.0,USA,1993-01-06,7,41,69.0,1575.0,468.0,332.0,81.0,49.0,23.0,5333333,"33 Years, 3 months, 19 days"
104,DeMarcus Cousins,Nuggets,Center,208,25.0,USA,1990-08-13,12,5,,,,,,,,1290481,"33 Years, 1 months, 12 days"
105,Robert Covington,Clippers,Forward,201,20.0,USA,1990-12-14,9,Undrafted,,,,,,,,12975471,"25 Years, 7 months, 24 days"
106,Torrey Craig,Suns,Forward,201,20.0,USA,1990-12-19,5,Undrafted,32.0,602.0,229.0,154.0,33.0,19.0,20.0,4878049,"24 Years, 1 months, 24 days"
107,Jae Crowder,Suns,Forward,198,22.0,USA,1990-07-06,10,34,60.0,1648.0,603.0,282.0,127.0,48.0,27.0,9720900,"32 Years, 8 months, 6 days"
108,Jarrett Culver,Hawks,Guard-Forward,198,18.0,USA,1999-02-20,3,6,,,,,,,,6395160,"29 Years, 5 months, 18 days"
109,Cade Cunningham,Pistons,Guard,198,20.0,USA,2001-09-25,1,1,,,,,,,,10050120,"23 Years, 6 months, 27 days"
110,Seth Curry,Nets,Guard,188,17.0,USA,1990-08-23,8,Undrafted,,,,,,,,8186047,"23 Years, 5 months, 5 days"
111,Stephen Curry,Warriors,Guard,188,17.0,USA,1988-03-14,13,7,63.0,2152.0,2015.0,345.0,363.0,77.0,8.0,45780966,"22 Years, 8 months, 7 days"
112,Anthony Davis,Lakers,Forward-Center,208,24.0,USA,1993-03-11,10,1,36.0,1162.0,786.0,286.0,110.0,45.0,59.0,35361360,"36 Years, 4 months, 18 days"
113,Ed Davis,Cavaliers,Center-Forward,206,20.0,USA,1989-06-05,13,13,,,,,,,,2641691,"29 Years, 1 months, 14 days"
114,Terence Davis,Kings,Guard,193,19.0,USA,1997-05-16,3,Undrafted,27.0,581.0,299.0,88.0,46.0,27.0,7.0,4000000,"25 Years, 3 months, 11 days"
115,DeMar DeRozan,Bulls,Guard-Forward,198,20.0,USA,1989-08-07,13,9,,,,,,,,26000000,"33 Years, 11 months, 26 days"
116,Dewayne Dedmon,Heat,Center,213,23.0,USA,1989-08-12,9,Undrafted,16.0,210.0,113.0,86.0,12.0,9.0,6.0,5256308,"21 Years, 1 months, 19 days"
117,Donte DiVincenzo,Warriors,Guard,193,19.0,USA,1997-01-31,4,17,,,,,,,,4675830,"22 Years, 3 months, 8 days"
118,Hamidou Diallo,Pistons,Guard,196,19.0,USA,1998-07-31,4,45,20.0,465.0,223.0,107.0,24.0,10.0,12.0,5200000,"34 Years, 9 months, 26 days"
119,Gorgui Dieng,Spurs,Center,208,23.0,Senegal,1990-01-18,9,21,16.0,181.0,85.0,42.0,19.0,9.0,2.0,4000000,"28 Years, 6 months, 8 days"
120,Spencer Dinwiddie,Mavericks,Guard,198,20.0,USA,1993-04-06,8,38,,,,,,,,17142857,"31 Years, 2 months, 9 days"
121,Luka Doncic,Mavericks,Forward-Guard,201,21.0,Slovenia,1999-02-28,4,3,66.0,2262.0,1830.0,527.0,567.0,64.0,36.0,10174391,"24 Years, 1 months, 9 days"
122,Luguentz Dort,Thunder,Guard,190,20.0,Canada,1999-04-19,3,Undrafted,52.0,1543.0,729.0,189.0,88.0,45.0,19.0,1782621,"29 Years, 4 months, 20 days"
123,Ayo Dosunmu,Bulls,Guard,193,19.0,USA,2000-01-17,1,38,,,,,,,,925258,"25 Years, 2 months, 20 days"
124,Goran Dragic,Bulls,Guard,190,18.0,Slovenia,1986-05-06,14,45,,,,,,,,20168742,"24 Years, 4 months, 15 days"
125,Andre Drummond,Bulls,Center,208,26.0,USA,1993-08-10,10,9,,,,,,,,2401537,"29 Years, 10 months, 26 days"
126,Chris Duarte,Pacers,Guard,196,18.0,Dominican Republic,1997-06-13,1,13,,,,,,,,3749520,"24 Years, 9 months, 4 days"
128,Kevin Durant,Nets,Forward,208,22.0,USA,1988-09-29,14,2,35.0,1157.0,943.0,247.0,195.0,25.0,45.0,40918900,"23 Years, 11 months, 23 days"
129,Anthony Edwards,Timberwolves,Guard,193,21.0,USA,2001-08-05,2,1,72.0,2314.0,1392.0,336.0,211.0,82.0,36.0,10245480,"34 Years, 1 months, 16 days"
132,CJ Elleby,Timberwolves,Forward-Guard,198,19.0,USA,2000-06-16,2,46,,,,,,,,1517981,"23 Years, 8 months, 28 days"
133,Wayne Ellington,Lakers,Guard,193,20.0,USA,1987-11-29,13,28,,,,,,,,2641691,"36 Years, 1 months, 7 days"
134,Joel Embiid,76ers,Center-Forward,213,26.0,Cameroon,1994-03-16,6,3,51.0,1585.0,1451.0,539.0,145.0,50.0,69.0,31579390,"32 Years, 4 months, 22 days"
135,Derrick Favors,Thunder,Forward,206,24.0,USA,1991-07-15,12,3,,,,,,,,9720900,"37 Years, 3 months, 0 days"
136,Bruno Fernando,Rockets,Forward-Center,206,22.0,Angola,1998-08-15,3,34,,,,,,,,1782621,"19 Years, 11 months, 14 days"
137,Dorian Finney-Smith,Mavericks,Forward,201,20.0,USA,1993-05-04,6,Undrafted,60.0,1921.0,590.0,326.0,102.0,52.0,25.0,4000000,"24 Years, 2 months, 12 days"
138,Malik Fitts,Celtics,Forward,196,21.0,USA,1997-07-04,3,Undrafted,,,,,,,,85578,"29 Years, 11 months, 7 days"
139,Malachi Flynn,Raptors,Guard,185,16.0,USA,1998-05-09,2,29,47.0,928.0,353.0,116.0,137.0,38.0,7.0,2048040,"30 Years, 2 months, 29 days"
142,Evan Fournier,Knicks,Guard-Forward,198,19.0,France,1992-10-29,10,20,,,,,,,,18139535,"27 Years, 7 months, 2 days"
143,De'Aaron Fox,Kings,Guard,190,17.0,USA,1997-12-20,5,5,58.0,2036.0,1461.0,203.0,417.0,87.0,27.0,28103550,"28 Years, 6 months, 12 days"
145,Markelle Fultz,Magic,Guard,193,20.0,USA,1998-05-29,5,1,8.0,215.0,103.0,25.0,43.0,8.0,2.0,16500000,"32 Years, 6 months, 20 days"
147,Daniel Gafford,Wizards,Forward-Center,206,22.0,USA,1998-10-01,3,38,23.0,408.0,233.0,128.0,12.0,15.0,41.0,1782621,"20 Years, 7 months, 15 days"
148,Danilo Gallinari,Celtics,Forward,208,22.0,Italy,1988-08-08,13,6,,,,,,,,20475000,"29 Years, 2 months, 1 days"
149,Darius Garland,Cavaliers,Guard,185,18.0,USA,2000-01-26,3,5,54.0,1790.0,941.0,129.0,329.0,66.0,6.0,7040880,"36 Years, 0 months, 27 days"
150,Usman Garuba,Rockets,Forward,203,21.0,Spain,2002-03-09,1,23,,,,,,,,2353320,"21 Years, 10 months, 8 days"
151,Luka Garza,Timberwolves,Center,208,23.0,USA,1998-12-27,1,52,,,,,,,,925258,"33 Years, 6 months, 8 days"
152,Rudy Gay,Jazz,Forward-Guard,203,23.0,USA,1986-08-17,16,8,,,,,,,,5890000,"22 Years, 4 months, 16 days"
153,Paul George,Clippers,Forward,203,20.0,USA,1990-05-02,12,10,54.0,1821.0,1259.0,359.0,280.0,62.0,24.0,39344970,"24 Years, 7 months, 16 days"
154,Taj Gibson,Wizards,Forward,206,22.0,USA,1985-06-24,13,26,,,,,,,,4910000,"22 Years, 6 months, 26 days"
155,Josh Giddey,Thunder,Guard,203,19.0,Australia,2002-10-10,1,6,,,,,,,,5988000,"21 Years, 7 months, 17 days"
156,Shai Gilgeous-Alexander,Thunder,Guard,198,17.0,Canada,1998-07-12,4,11,35.0,1180.0,830.0,166.0,207.0,27.0,23.0,5495532,"30 Years, 6 months, 8 days"
157,Anthony Gill,Wizards,Forward,201,21.0,USA,1992-10-17,2,Undrafted,26.0,218.0,80.0,51.0,11.0,10.0,4.0,1517981,"33 Years, 0 months, 29 days"
158,Rudy Gobert,Timberwolves,Center,216,24.0,France,1992-06-26,9,27,,,,,,,,35344828,"29 Years, 4 months, 13 days"
160,Aaron Gordon,Nuggets,Forward,203,22.0,USA,1995-09-16,8,4,25.0,648.0,254.0,118.0,56.0,17.0,14.0,16409091,"28 Years, 0 months, 10 days"
161,Eric Gordon,Rockets,Guard,190,20.0,USA,1988-12-25,14,7,27.0,789.0,481.0,58.0,71.0,14.0,13.0,18218818,"31 Years, 0 months, 18 days"
162,Devonte' Graham,Pelicans,Guard,185,18.0,USA,1995-02-22,4,34,,,,,,,,11000000,"30 Years, 2 months, 9 days"
163,Jerami Grant,Trail Blazers,Forward,203,20.0,USA,1994-03-12,8,39,,,,,,,,20000000,"27 Years, 6 months, 18 days"
164,Danny Green,Grizzlies,Guard,198,20.0,USA,1987-06-22,13,46,,,,,,,,10000000,"24 Years, 4 months, 19 days"
165,Draymond Green,Warriors,Forward,198,21.0,USA,1990-03-04,10,35,63.0,1982.0,444.0,448.0,558.0,105.0,52.0,24026712,"42 Years, 3 months, 15 days"
166,JaMychal Green,Warriors,Forward-Center,203,21.0,USA,1990-06-21,8,Undrafted,,,,,,,,8292683,"24 Years, 9 months, 16 days"
167,Jalen Green,Rockets,Guard,193,17.0,USA,2002-02-09,1,2,,,,,,,,8992200,"22 Years, 4 months, 1 days"
168,Javonte Green,Bulls,Guard-Forward,196,19.0,USA,1993-07-23,3,Undrafted,16.0,128.0,41.0,19.0,6.0,10.0,4.0,1669178,"21 Years, 1 months, 28 days"
169,Jeff Green,Nuggets,Forward,203,22.0,USA,1986-08-28,14,5,,,,,,,,4500000,"32 Years, 6 months, 1 days"
170,Josh Green,Mavericks,Guard,196,19.0,Australia,2000-11-16,2,18,39.0,445.0,101.0,78.0,28.0,16.0,3.0,2957520,"26 Years, 11 months, 27 days"
171,Blake Griffin,Nets,Forward,206,23.0,USA,1989-03-16,12,1,26.0,560.0,260.0,121.0,63.0,18.0,13.0,32405817,"28 Years, 3 months, 28 days"
172,Quentin Grimes,Knicks,Guard,193,20.0,USA,2000-05-08,1,25,,,,,,,,2168760,"22 Years, 8 months, 4 days"
173,Rui Hachimura,Wizards,Forward,203,21.0,Japan,1998-02-08,3,9,57.0,1797.0,789.0,312.0,82.0,44.0,7.0,4916160,"29 Years, 9 months, 7 days"
174,Tyrese Haliburton,Pacers,Guard,196,17.0,USA,2000-02-29,2,12,,,,,,,,4023600,"25 Years, 9 months, 15 days"
175,R.J. Hampton,Magic,Guard,193,16.0,USA,2001-02-07,2,24,26.0,655.0,290.0,129.0,73.0,16.0,8.0,2303040,"36 Years, 4 months, 20 days"
176,Tim Hardaway Jr.,Mavericks,Guard-Forward,196,19.0,USA,1992-03-16,9,24,70.0,1985.0,1163.0,229.0,126.0,31.0,11.0,21306816,"25 Years, 11 months, 25 days"
177,James Harden,76ers,Guard,196,20.0,USA,1989-08-26,13,3,,,,,,,,43848000,"32 Years, 3 months, 12 days"
178,Maurice Harkless,Hawks,Forward-Guard,201,20.0,USA,1993-05-11,10,15,,,,,,,,4347600,"33 Years, 5 months, 19 days"
180,Montrezl Harrell,76ers,Forward-Center,201,22.0,USA,1994-01-26,7,32,,,,,,,,9720900,"29 Years, 11 months, 4 days"
181,Gary Harris,Magic,Guard,193,20.0,USA,1994-09-14,8,19,20.0,499.0,204.0,32.0,46.0,11.0,7.0,20482143,"36 Years, 3 months, 21 days"
182,Joe Harris,Nets,Guard-Forward,198,20.0,USA,1991-09-06,8,33,69.0,2142.0,974.0,248.0,130.0,46.0,14.0,17357143,"21 Years, 9 months, 30 days"
183,Tobias Harris,76ers,Forward,201,21.0,USA,1992-07-15,11,19,62.0,2014.0,1210.0,419.0,220.0,55.0,51.0,36000000,"29 Years, 3 months, 17 days"
184,Josh Hart,Trail Blazers,Guard,196,20.0,USA,1995-03-06,5,30,,,,,,,,12000000,"36 Years, 9 months, 16 days"
185,Isaiah Hartenstein,Knicks,Center-Forward,213,23.0,Germany,1998-05-05,4,43,,,,,,,,3430810,"24 Years, 0 months, 28 days"
186,Udonis Haslem,Heat,Forward,203,22.0,USA,1980-06-09,19,Undrafted,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2641691,"24 Years, 6 months, 14 days"
187,Sam Hauser,Celtics,Forward,201,20.0,USA,1997-12-08,1,Undrafted,,,,,,,,313737,"24 Years, 9 months, 22 days"
188,Jaxson Hayes,Pelicans,Center-Forward,211,20.0,USA,2000-05-23,3,8,60.0,964.0,449.0,257.0,35.0,25.0,38.0,5348280,"22 Years, 0 months, 10 days"
189,Killian Hayes,Pistons,Guard,196,18.0,France,2001-07-27,2,7,26.0,670.0,176.0,69.0,138.0,27.0,10.0,5572680,"33 Years, 0 months, 6 days"
190,Gordon Hayward,Hornets,Forward,201,21.0,USA,1990-03-23,12,9,44.0,1496.0,863.0,258.0,181.0,52.0,14.0,29900000,"38 Years, 7 months, 27 days"
191,Juancho Hernangomez,Raptors,Forward,206,20.0,Spain,1995-09-28,6,15,,,,,,,,6175440,"34 Years, 11 months, 22 days"
